species,collection_no,collection_name,specimen_ID,part,length,amber,age_ma
Carsidarina ampla,156628,"Thorness Bay, Bembridge Marls, Isle of Wight (BMB coll)",BMB 018431,forewing,3.33,not_amber,35.95
Cinara (Cinara) reconditivenia,128550,"Shanwang, Linqu County, collection 79/80 (Beijing Museum)",79056,body,3.33,not_amber,13.789
Eopseudopomyza szasziewskii,123419,"Baltic Amber, Deutsches Entomologische Institut collection",Hoffeins 1549-3,wing,3.33,amber,35.95
Helophorus (Mesosperchus) gracilis,111716,"Huangbanjigou, Chaomidian Village, CNU 2010 collection",CNU-COL-LB2010030,elytron,3.33,not_amber,127.725
Anisotoma sibylla,124624,Florissant (USNM Collection),USNM 59633,body,3.35,not_amber,35.55
Auletes wymani,106384,Florissant (MCZ Collection),Scudder 12051,body,3.35,not_amber,35.55
Linnaea holmesii,106384,Florissant (MCZ Collection),2320,body,3.35,not_amber,35.55
Micragrypnites issykiensis,105087,"Ak-Bulak-Say, Sogjuta, Issyk-Kul (PIN Collection 371)",PIN 371/1648,elytron,3.35,not_amber,196.05
Necrotaulius parvulus,114993,"Klein Lehmhagen pit, Grimmen",LGA 1097,forewing,3.35,not_amber,182.5
Necrotaulius parvulus,117796,Holzmaden (Ansorge coll),MfN Ansorge H 1,forewing,3.35,not_amber,182.5
Novelaria magna,99114,Archingeay-Les-Nouillers,MNHN ARC226.38,body,3.35,amber,102.45
Orchestes languidulus,106384,Florissant (MCZ Collection),Scudder 5145,body,3.35,not_amber,35.55
Triadocupes ellipticus,106090,"Madygen, PIN collection 2069, Dzhailoucho area",PIN 2069/1111,elytron,3.35,not_amber,232.5
Trioza similis,125990,"Vishnevaya Balka creek, outcrop 4, Stavropol (PIN collection 254)",PIN 254/2598,forewing,3.35,not_amber,13.789
Microberotha macculloughi,123795,Hat Creek amber,NH.998.015.002,forewing,3.36,amber,52.2
Miochlorotettix gibroni,152199,"Gibron site 1, Mule Canyon, Calico Hills",Gibron H1567,body,3.36,not_amber,18.2
Aortomima shandongensis,106313,"Nanligezhuang, Tuanwang Town, Laiyang City (Shandong Prov. Mus.)",Shandong Provincial Museum L84109,body,3.37,not_amber,119
Jersimantis luzzii,110895,White Oaks Pit (Old Crossman's Clay Pits),"AMNH NJ-425 (Luzzi, 1996)",body,3.37,amber,91.85
Jersimantis luzzii,110895,White Oaks Pit (Old Crossman's Clay Pits),"AMNH NJ-425 (Luzzi, 1996)",body,3.37,amber,91.85
Siphonophoroides simplex,106384,Florissant (MCZ Collection),2234,body,3.375,not_amber,35.55
Derephysia penalveri,122985,Rio Rubielos (MPV coll),MPV-1072-RM,body,3.38,not_amber,17.985
Enicocephalus omen,123393,"Dominican amber, La Toca mine (AMNH coll)",AMNH DR-10-74,body,3.38,amber,17.13
Sinalda applanata,123419,"Baltic Amber, Deutsches Entomologische Institut collection",Hoffeins 1427,body,3.38,amber,35.95
Archeoviparosiphum opimum,125196,"Tuanwang, Laiyang City (Shandong Prov. Museum coll.)",Shandong Provincial Museum L84126,forewing,3.39,not_amber,119
Copallinges chiapasensis,155387,Chiapas amber (ISEA collection),ISEA MP/4/1/WK/04,body,3.39,amber,19.5
Dicladispa beskonakensis,123307,Bes-Konak,MNHN IPMB-47738,elytron,3.39,not_amber,21.735
Ellinaphis longistigma,113354,"Baissa (PIN collection 4210, layer 4)",PIN 4210/2647,body,3.39,not_amber,119
Indutionomarus treveriorum,105427,Bascharage,MNHN F.40893,tegmen,3.39,not_amber,182.5
Platycrossos longus,121394,"Shar-Teg, outcrop 423/6 (PIN collection 4270)",PIN 4270/1331,elytron,3.39,not_amber,148.55
Sinovelia popovi,111716,"Huangbanjigou, Chaomidian Village, CNU 2010 collection",CNU-HE-LB2010226PC,body,3.39,not_amber,127.725
Sinovelia popovi,111716,"Huangbanjigou, Chaomidian Village, CNU 2010 collection",CNU-HE-LB2010225,body,3.39,not_amber,127.725
Absoluta elongata,105087,"Ak-Bulak-Say, Sogjuta, Issyk-Kul (PIN Collection 371)",PIN 371/1125,hindwing,3.4,not_amber,196.05
Ademosyne australiensis,111777,Denmark Hill Insect Bed (Dunstan 1909 collection),GSQI 12,elytron,3.4,not_amber,232.5
Aegialia rupta,122090,Green River (Packard Collection),Packard 80,body,3.4,not_amber,48.25
Allocotocera xavieri,108769,Pe±acerrada outcrop I,"MCNA-9941.1, MCNA-9403",body,3.4,amber,110.515
Ampliceps dentitibia,105971,Karatau-Mikhailovka (PIN collection 2066),PIN 2066/2317,body,3.4,not_amber,161.7
Anochetus corayi,122474,Dominican amber (SMNS coll),SMNS Do-834-K-1,body,3.4,amber,17.13
Anomopterella ampla,138748,Daohugou (CNU 2012 collection),CNU-HYM-NN2012047,forewing,3.4,not_amber,161.7
Anthicus neli,123306,Izarra (MCNA collection),MCNA 7435,body,3.4,not_amber,25.565
Anthicus sepultulus,151863,Sunchal (Cockerell collection),NA,body,3.4,not_amber,61
Antocha lapra,104053,Burmese amber (Poinar collection),Poinar B-D-10 #12,body,3.4,amber,96.55
Aphidecta marginata,121474,"Brunstatt, horizon d3",A. marginata d3 type,body,3.4,not_amber,31.15
Archaeodrapetiops transversa,153054,"Santa Fe farm, Padre Eterno, Taubat? municipality (UnG collection)",UnG/1T-12,body,3.4,not_amber,25.565
Archibio mycetophilinus,114993,"Klein Lehmhagen pit, Grimmen",LGA 988,wing,3.4,not_amber,182.5
Archirhyphus asiaticus,105426,Karatau-Mikhailovka (PIN collection 2997),PIN 2997/3596,wing,3.4,not_amber,161.7
Asiephialtites lini,113371,Daohugou (NIGP collection),NIGP 151944,hindwing,3.4,not_amber,161.7
Astenorrhinus elongatus,106279,Karatau-Mikhailovka (PIN collection 2904),PIN 2904/979,elytron,3.4,not_amber,161.7
Auliepterix mirabilis,105426,Karatau-Mikhailovka (PIN collection 2997),PIN 2997/858,forewing,3.4,not_amber,161.7
Aulobaris damnata,122093,Florissant (former Princeton collection),PU 1515,body,3.4,not_amber,35.55
Baisomyia incognita,126000,"Baissa (PIN collection 1989, layer 22)",PIN 1989/3131,body,3.4,not_amber,119
Balaninus elegans,113685,Menat (Piton collection),Coll. Piton 730,elytron,3.4,not_amber,57.6
Bellimordella longispina,111710,"Huangbanjigou, Chaomidian Village, CNU 2006 collection",CNU-C-LB2006203,body,3.4,not_amber,127.725
Blattula pachohymena,106695,"Pengzhuang village, Hanshan County",2p43-H25-79,tegmen,3.4,not_amber,168.2
Cascadilar eocenicus,124005,"Baltic Amber, California Academy of Sciences coll",NA,hindwing,3.4,amber,35.95
Cascoplecia insolitis,104053,Burmese amber (Poinar collection),OSU B-D-68,body,3.4,amber,96.55
Ceratoteleia succinophila,123927,"Baltic amber, Konigsberg collection",NA,body,3.4,amber,35.95
Cicadocoris sinensis,154730,"Yujiagou, collection Lby/y3, Beipiao City",Hong 1238,forewing,3.4,not_amber,161.7
Cordyla hastata,122010,Rott (Statz coll),LACMIP 3666,body,3.4,not_amber,25.715
Crepidodera svetlanae,152022,"Baltic amber, Andris Bukejs collection",Bukejs 014,body,3.4,amber,35.95
Crepuraea zherichini,105969,Baissa (PIN collection 3064),PIN 3064/888,body,3.4,not_amber,119
Cretoxenoides erdeniensis,123427,Erdeni-Ula (PIN collection 4300),PIN 4300/1,body,3.4,not_amber,128.95
Cyllolithus mirandus,105375,Obeshchayushchiy (PIN collection 3901),PIN 3901/190,body,3.4,not_amber,77.05
Daiodromus umbrosus,119397,"Daya locality, outcrop 66/4 (PIN collection 3063)",PIN 3063/731,body,3.4,not_amber,148.55
Delphax rhenana,122010,Rott (Statz coll),NA,body,3.4,not_amber,25.715
Ditomyia pilosella,122010,Rott (Statz coll),LACMIP 3650,body,3.4,not_amber,25.715
Ectrepesthoneura rottensis,122010,Rott (Statz coll),LACMIP 3653,body,3.4,not_amber,25.715
Enochrus lapsus,128552,"Shanwang, Linqu County, collection s (Shandong Provincial Museum)",s82714,body,3.4,not_amber,13.789
Eotipuloptera dignata,113372,Daohugou (NIGP 2004 collection),NIGP200403,wing,3.4,not_amber,161.7
Ganestrius elongatus,105971,Karatau-Mikhailovka (PIN collection 2066),PIN 2066/2528,elytron,3.4,not_amber,161.7
Glaesotropis diadiasashai,113621,"Rovno Amber, Ukryantar factory material (SIZC UA collection)",SIZK UA-2223,body,3.4,amber,35.95
Gnomusca renyxa,106090,"Madygen, PIN collection 2069, Dzhailoucho area",PIN 2069/3756,wing,3.4,not_amber,232.5
Gobicar ponomarenkoi,104748,"Shar-Teg, outcrop 443/1 (PIN collection 4270)",PIN 4270/1125,body,3.4,not_amber,148.55
Hadronotoides dubitatus,123927,"Baltic amber, Konigsberg collection",NA,body,3.4,amber,35.95
Helichus eruptus,106379,"Florissant, Station 13",NA,elytron,3.4,not_amber,35.55
Herina lugubris,157306,Monte Castellaro (MTR collection),MTR 395,wing,3.4,not_amber,6.2895
Heterogaster sundgoviensis,121473,"Brunstatt, horizon d2",Foerster troglodytes d2 specimen,body,3.4,not_amber,31.15
Hylurgops pilosellus,124073,"Baltic Amber, Klebs collection",Klebs K.8285,body,3.4,amber,35.95
Hymega rasnitsyni,104754,"Isady Locality (Mutovino, PIN collection 3840)",PIN 3840/2600,forewing,3.4,not_amber,257.035
Hypnomorphus minutus,106101,Karatau-Mikhailovka (PIN collection 2239),PIN 2239/1431,elytron,3.4,not_amber,161.7
Kaltanocicada dunstanioides,122568,"Kaltan, outcrop 1300, bed 7 (PIN collection 600)",PIN 600/365,forewing,3.4,not_amber,270.55
Karabasia evansi,123197,Unda (PIN collection 3015),PIN 3015/1548,body,3.4,not_amber,148.55
Karanthribus primitivus,105426,Karatau-Mikhailovka (PIN collection 2997),PIN 2997/2124,elytron,3.4,not_amber,161.7
Khasurtella buriatica,113349,Khasurty (PIN collection 5026),PIN 5026/779,forewing,3.4,not_amber,119
Lasius tertiarius,138935,"Berezovsky massif, Zakarpatskaya",NA,body,3.4,not_amber,12.154
Leria bauckhorni,122010,Rott (Statz coll),NA,wing,3.4,not_amber,25.715
Lindenius paleomystax,122982,Dominican amber (AMNH coll),AMNH DR-14-1091,forewing,3.4,amber,17.13
Malthodes kotejai,120813,Baltic Amber (Museum Ziemi collection),MZ 24199,body,3.4,amber,35.95
Memptus handlirschi,155351,"KHG 125, Bed 50, Guanyintan, Qiyang County",NIGP 70068,elytron,3.4,not_amber,176.5
Mindarus magnus,123771,"Baltic Amber, Scheele collection, University of Hamburg",GPIH 1271,forewing,3.4,amber,35.95
Mindarus transparens,120813,Baltic Amber (Museum Ziemi collection),MZ 10602,forewing,3.4,amber,35.95
Mioacinia adriatica,157306,Monte Castellaro (MTR collection),MTR 1300,wing,3.4,not_amber,6.2895
Mordellistena smithiana,113749,"Wilson Ranch, Florissant",NA,body,3.4,not_amber,35.55
Mycetophagus willistoni,113749,"Wilson Ranch, Florissant",NA,body,3.4,not_amber,35.55
Nedubrovia deformis,104756,"Sokovka, Vyazniki (PIN collection 5102)",PIN 5102/8,forewing,3.4,not_amber,253.17
Nedubrovia shcherbakovi,104754,"Isady Locality (Mutovino, PIN collection 3840)",PIN 3840/1337,forewing,3.4,not_amber,257.035
Negastrioides tenuicornis,105971,Karatau-Mikhailovka (PIN collection 2066),PIN 2066/2847,body,3.4,not_amber,161.7
Neopalachia bouceki,123857,Dominican amber (Florida State Collection of Arthropods),NA,body,3.4,amber,17.13
Neoulosomus (Stenosomus) tanyrhinus,122472,Dominican amber (Poinar coll),Poinar weevil 58,body,3.4,amber,17.13
Notiophilus vancouveri,161523,Lynn Creek,NA,elytron,3.4,not_amber,0.069
Obrienia ingurgata,110765,"Madygen, PIN collection 2971, Madygen (SW area)",PIN 2971/612,body,3.4,not_amber,232.5
Onokhoius aculeatus,122321,Khoutiyn-Khotgor (PIN collection 3688),PIN 3688/1157,body,3.4,not_amber,148.55
Ooperioristus applanatus,107323,"Hondelage, Braunschweig (Boreale Zone)",MGITHB fig 259,elytron,3.4,not_amber,182.5
Ormosia (Oreophila) illibata,140808,Baltic amber (Vilnius University collection),VU 560,wing,3.4,amber,35.95
Ormosia (Oreophila) illibata,140808,Baltic amber (Vilnius University collection),VU 560,body,3.4,amber,35.95
Ormosia (Oreophila) indago,123977,"Baltic Amber, Palanga Amber Museum Collection",PAM Ap 18768,body,3.4,amber,35.95
Ormosia (Ormosia) innata,140808,Baltic amber (Vilnius University collection),VU 564,wing,3.4,amber,35.95
Ovojassus minor,122352,Crato (AMNH collection),AMNH 43652,body,3.4,not_amber,117.245
Palaeoichneumon townesi,113357,Kholbotu-Gol (PIN collection 3147),PIN 3147/244,forewing,3.4,not_amber,122.95
Palaeomochlonyx aestimabilis,123419,"Baltic Amber, Deutsches Entomologische Institut collection",SDEI 924-1,wing,3.4,amber,35.95
Parapolycentropus paraburmiticus,123113,Burmese amber (Zigras coll),JZC Bu82,wing,3.4,amber,96.55
Paroryssus extensus,115717,Karatau-Galkino (PIN collection 2452),1775/15,forewing,3.4,not_amber,161.7
Peradenia galerita,151572,Baltic Amber (OSUC collection),OSUC 0052113,body,3.4,amber,35.95
Pleciofungivora burjatica,105017,Novospasskoye village (PIN collection 3000),PIN 3000/1851,body,3.4,not_amber,160.4
Procrophius costalis,106384,Florissant (MCZ Collection),10638,body,3.4,not_amber,35.55
Procrophius languens,106384,Florissant (MCZ Collection),6239,body,3.4,not_amber,35.55
Protempis antennata,106101,Karatau-Mikhailovka (PIN collection 2239),PIN 2239/2215,body,3.4,not_amber,161.7
Pseudocardiophorites angustatus,105426,Karatau-Mikhailovka (PIN collection 2997),PIN 2997/2019,elytron,3.4,not_amber,161.7
Rhodites vetus,123960,Bembridge Marls (Hooley coll),BMNH In.24341,forewing,3.4,not_amber,35.95
Rugopimpla angusticella,105375,Obeshchayushchiy (PIN collection 3901),PIN 3901/73,forewing,3.4,not_amber,77.05
Rupiforficula scudderi,106380,"Florissant, Station 13B",UCM 29907,tegmen,3.4,not_amber,35.55
Scelorhagio mecomastigus,106313,"Nanligezhuang, Tuanwang Town, Laiyang City (Shandong Prov. Mus.)",Shandong Museum L88812,wing,3.4,not_amber,119
Schiffermuelleria jantharica,120813,Baltic Amber (Museum Ziemi collection),MZ 49/28 G/10 1831/14,forewing,3.4,amber,35.95
Schizocoleus glabrus,104717,Novo-Aleksandrovka (PIN collection 3700),PIN 3700/41,elytron,3.4,not_amber,262.5
Sciara gurnetensis,123959,Bembridge Marls (Brodie coll),USNM 61435,wing,3.4,not_amber,35.95
Sciomyza manca,121322,Petrified fish cut (Scudder collection),NA,wing,3.4,not_amber,48.25
Shurabella lepyroniopsis,113411,Shurab III (PIN collection 459),PIN 459/37b,tegmen,3.4,not_amber,186.75
Sibynes whitneyi,106384,Florissant (MCZ Collection),NA,body,3.4,not_amber,35.55
Sinopelecinus delicatus,111725,"Huangbanjigou, Shangyuan Town, NIGP collection",NIGP 134157,forewing,3.4,not_amber,127.725
Stephanogaster pristinus,113371,Daohugou (NIGP collection),NND2083/NIGP 151943,hindwing,3.4,not_amber,161.7
Succaphis holgeri,123771,"Baltic Amber, Scheele collection, University of Hamburg",GPIH 1282,body,3.4,amber,35.95
Tanyochoreta (Sinotrichocera) parva,113363,Daohugou (NIGP 2003 collection),NIGP DHG200399,wing,3.4,not_amber,161.7
Tapinoma baculum,128550,"Shanwang, Linqu County, collection 79/80 (Beijing Museum)",79051,body,3.4,not_amber,13.789
Thamnotettix gracilentus,122010,Rott (Statz coll),NA,tegmen,3.4,not_amber,25.715
Trachycoris abbreviatus,105002,"Hondelage, Braunschweig",GPIBC fig 127,wing,3.4,not_amber,182.5
Trigampulex pervetus,123020,Burmese amber (BMNH coll),NHM In. 19093,wing,3.4,amber,96.55
Undaya alata,125407,Shev'ya site (PIN collection 3795),PIN 3795/640,wing,3.4,not_amber,148.55
Ussatchovia gracilenta,113374,Daohugou (NIGP 2009 collection),NIGP DHG200983,wing,3.4,not_amber,161.7
Willihennigia furcata,104950,Uda River (PIN collection 3053),PIN 3053/545,body,3.4,not_amber,157.8
Willihennigia propria,105017,Novospasskoye village (PIN collection 3000),PIN 3000/1556,body,3.4,not_amber,160.4
Xyela (Xyela) julii,122010,Rott (Statz coll),LACMIP 4018,body,3.4,not_amber,25.715
Xylococcus kutscheri,165567,Baltic Amber (University of Silesia collection),DZUS KOT-0272,forewing,3.4,amber,35.95
Ademosyne hexacostata,122987,Rio Gualo (5th cycle),PULR-I 308a-1,elytron,3.41,not_amber,239.5
Delopsocus sinuosus,114186,"Obora, southern edge of ravine",CUP 22/1962,body,3.41,not_amber,292.8
Apterostigma electropilosum,122982,Dominican amber (AMNH coll),AMNH DR-14-984,body,3.42,amber,17.13
Apterostigma eowilsoni,122982,Dominican amber (AMNH coll),AMNH DR-16-292,body,3.42,amber,17.13
Archepopovia yurii,123770,Baltic Amber (Herrling Collection),Herrling 611,body,3.42,amber,35.95
Enicocephalus seniculus,122982,Dominican amber (AMNH coll),(AMNH DR-10-81,body,3.42,amber,17.13
Holisus funeratus,122982,Dominican amber (AMNH coll),AMNH DR-10-1199,body,3.42,amber,17.13
Oligembia vetusta,122982,Dominican amber (AMNH coll),NA,forewing,3.43,amber,17.13
Parapolycentropus paraburmiticus,123113,Burmese amber (Zigras coll),JZC Bu274,body,3.43,amber,96.55
Dipterodictya tipuloides,105086,"Sogyuty, Issyk-Kul (PIN Collection 358)",PIN 358/971,wing,3.44,not_amber,196.05
Dorytomus williamsi,124624,Florissant (USNM Collection),USNM 59677,body,3.45,not_amber,35.55
Electrosania cretica,110895,White Oaks Pit (Old Crossman's Clay Pits),AMNH NJ-518a,body,3.45,amber,91.85
Heterothops conticens,106384,Florissant (MCZ Collection),Scudder 120,body,3.45,not_amber,35.55
Hydroporus multipunctatus,122010,Rott (Statz coll),LACMIP 3805,body,3.45,not_amber,25.715
Hylurgops piger,113749,"Wilson Ranch, Florissant",NA,body,3.45,not_amber,35.55
Mycetaulus incretus,106379,"Florissant, Station 13",AMNH 26617,wing,3.45,not_amber,35.55
Oreodytes cryptolineatus,122010,Rott (Statz coll),O. cryptolineatus LACM form 3,body,3.45,not_amber,25.715
Parapolycentropus paraburmiticus,123113,Burmese amber (Zigras coll),JZC Bu148,wing,3.45,amber,96.55
Permeca pygmaea,104754,"Isady Locality (Mutovino, PIN collection 3840)",PIN 3840/420,forewing,3.45,not_amber,257.035
Archeoviparosiphum tuanwangense,125196,"Tuanwang, Laiyang City (Shandong Prov. Museum coll.)",Shandong Provincial Museum L84121,forewing,3.47,not_amber,119
Ellinaphis truncata,106103,"Baissa (PIN collection 4210, layer 31)",PIN 4210/5636,forewing,3.47,not_amber,119
Mesernobius anawrahtai,123116,Burmese amber (KU coll),KU Bu-019,body,3.47,amber,96.55
Plecia akerionana,138790,4 miles west of Rio Blanco,USNM 498201,wing,3.47,not_amber,48.25
Aphaorus curtipes,113407,"Khutel-Khara, PIN collection 3965",PIN 3965/3,forewing,3.48,not_amber,127.2
Parapolycentropus burmiticus,123113,Burmese amber (Zigras coll),JZC Bu1268,body,3.48,amber,96.55
Sympycnites primaevus,123017,"Bchare Mountain, Lebanese amber (AMNH coll)",AMNH L-AE133,body,3.48,amber,127.2
Delopsocus sinuosus,114186,"Obora, southern edge of ravine",CUP 22/1962,hindwing,3.49,not_amber,292.8
Aafrita biladalshama,122471,"Mdeyrij-Hammana, Casa Baabda (Azar coll)",MNHN Azar 641B,body,3.5,amber,123.955
Abderina helmii,123438,"Baltic Amber, Danziger Naturkundemuseum Helm collection",NA,body,3.5,amber,35.95
Acheonus minutissimus,105426,Karatau-Mikhailovka (PIN collection 2997),PIN 2997/1992,body,3.5,not_amber,161.7
Acmaeoderimorpha ignota,106101,Karatau-Mikhailovka (PIN collection 2239),PIN 2239/1323,elytron,3.5,not_amber,161.7
Ademosyne arcucciae,123046,Agua Escondida (4th cycle),PULR-I 301a6,elytron,3.5,not_amber,239.5
Ademosyne arcucciae,122987,Rio Gualo (5th cycle),PULR-I 302-11,elytron,3.5,not_amber,239.5
Ademosyne arcucciae,122987,Rio Gualo (5th cycle),PULR-I 302-12,elytron,3.5,not_amber,239.5
Ademosyne ramocostata,111558,Denmark Hill Insect Bed (Dunstan 1915-1916 collection),GSQ 225,elytron,3.5,not_amber,232.5
Aenne triassica,115590,"Aust Cliff, Insect layer, east bank",Cd 4127,wing,3.5,not_amber,204.9
Agrascapha curta,156325,"Kerjie, Toksun County",NIGP 86095,body,3.5,not_amber,218.25
Allodia nigritella,121476,"Brunstatt, horizon d4",Foerster nigritella d4 specimen,body,3.5,not_amber,31.15
Allotrichia clara,123757,"Baltic Amber, Zoological Museum, Humboldt Univ Berlin (ZHMB MfN) Collection",NA,forewing,3.5,amber,35.95
Amblycephalonius tenuistriatus,107555,"Grassel, Braunschweig (Boreale)",MGITHB fig 282,elytron,3.5,not_amber,182.5
Anaglyphites clavatus,105971,Karatau-Mikhailovka (PIN collection 2066),PIN 2066/2276,elytron,3.5,not_amber,161.7
Anaxyela parvula,115717,Karatau-Galkino (PIN collection 2452),PIN 2452/583,forewing,3.5,not_amber,161.7
Anconatus niger,106384,Florissant (MCZ Collection),6090,body,3.5,not_amber,35.55
Anhuistoma hyla,106695,"Pengzhuang village, Hanshan County",2p43-H26-243,body,3.5,not_amber,168.2
Anisembia vetehae,122982,Dominican amber (AMNH coll),NA,forewing,3.5,amber,17.13
Anobium durescens,106384,Florissant (MCZ Collection),Scudder 13627,body,3.5,not_amber,35.55
Anomopterella gobi,104748,"Shar-Teg, outcrop 443/1 (PIN collection 4270)",PIN 4270/1549,forewing,3.5,not_amber,148.55
Anthonomus primordius,106384,Florissant (MCZ Collection),Scudder 12484,body,3.5,not_amber,35.55
Aphodius precursor,20479,Port Kennedy Cave,NA,elytron,3.5,not_amber,1.05
Apioderes punctatus,123987,"Dobbertin, Mecklenburg (Greifswald collection)",NA,elytron,3.5,not_amber,182.5
Aploceble (Chalcaploceble) viridiaeneus,134456,"Baltic Amber, ISEA Novosibirsk collection",NA,body,3.5,amber,35.95
Apolephthisa sakhalina,107340,Sakhalin Amber (PIN collection 3387),PIN 3387/42,body,3.5,amber,44.55
Archaeodrapetiops elongata,153054,"Santa Fe farm, Padre Eterno, Taubat? municipality (UnG collection)",UnG/1T-14,wing,3.5,not_amber,25.565
Archescraptia emarginata,124073,"Baltic Amber, Klebs collection",BMNH In. 18787,elytron,3.5,amber,35.95
Archescraptia emarginata,124073,"Baltic Amber, Klebs collection",BMNH In. 18787,elytron,3.5,amber,35.95
Archescraptia emarginata,124073,"Baltic Amber, Klebs collection",BMNH In. 18787,elytron,3.5,amber,35.95
Archistempellina falcifera,122997,"Rovno Amber, Klesov locality (SIZC K collection)",SIZK K-8884,body,3.5,amber,35.95
Architipula (Grimmenia) secunda,114992,"Lehmhagen, near Grimmen (Zessin collection)",LG 371/1,wing,3.5,not_amber,182.5
Architipula debilis,123987,"Dobbertin, Mecklenburg (Greifswald collection)",NA,wing,3.5,not_amber,182.5
Architipula nana,123987,"Dobbertin, Mecklenburg (Greifswald collection)",NA,wing,3.5,not_amber,182.5
Archobraconus imperfectus,119498,"Baissa (PIN collection 3064, bed 15)",PIN 3064/1990,forewing,3.5,not_amber,119
Argentinosyne gualoensis,122987,Rio Gualo (5th cycle),PULR-I 311a2,elytron,3.5,not_amber,239.5
Argentinosyne losrastrosensis,122987,Rio Gualo (5th cycle),PULR-I 344-1,elytron,3.5,not_amber,239.5
Argentinosyne losrastrosensis,123045,Picos Gemelos (5th cycle),PULR-I 343,elytron,3.5,not_amber,239.5
Artipus receptus,152137,"White River, northern side",USGS 708,body,3.5,not_amber,48.25
Asiephialtites oviventer,106279,Karatau-Mikhailovka (PIN collection 2904),PIN 2904/1232,forewing,3.5,not_amber,161.7
Asiephialtites seticornis,105426,Karatau-Mikhailovka (PIN collection 2997),PIN 2997/4139,forewing,3.5,not_amber,161.7
Astigmaton ichneumonoides,123964,Baltic Amber (Schmalhausen Institute of Zoology SIZC collection),NA,body,3.5,amber,35.95
Astreptolabis ethirosomatia,111688,Burmese amber (AMNH collection),AMNH Bu-FB20,body,3.5,amber,96.55
Asuba brodiei,104008,"Dinton, Vale of Wardour, Middle Purbeck",NA,body,3.5,not_amber,142.6
Aulobaris comminuta,152137,"White River, northern side",NA,body,3.5,not_amber,48.25
Austrolimnophila (Austrolimnophila) joana,104053,Burmese amber (Poinar collection),Poinar B-D-10 #17,body,3.5,amber,96.55
Baissacar passarius,106103,"Baissa (PIN collection 4210, layer 31)",PIN 4210/726,body,3.5,not_amber,119
Baissobracon striatus,119441,"Baissa (PIN collection 4210, layer 22)",PIN 4210/1150,forewing,3.5,not_amber,119
Baris primalis,124624,Florissant (USNM Collection),USNM 63453,body,3.5,not_amber,35.55
Bembidion bipunctatum,153476,Boryslawia,NA,elytron,3.5,not_amber,0.06885
Beraeodes vectensis,123959,Bembridge Marls (Brodie coll),BMNH I.9134,forewing,3.5,not_amber,35.95
Beraeodes vectensis,123959,Bembridge Marls (Brodie coll),BMNH I.9288,forewing,3.5,not_amber,35.95
Beraeodes vectensis,123959,Bembridge Marls (Brodie coll),BMNH I.9770,forewing,3.5,not_amber,35.95
Beraeodes vectensis,123959,Bembridge Marls (Brodie coll),BMNH I.10038,forewing,3.5,not_amber,35.95
Beraeodes vectensis,21976,Bembridge Marls (A'Court Smith collection),BMNH In.17290,forewing,3.5,not_amber,35.95
Beraeodes vectensis,21976,Bembridge Marls (A'Court Smith collection),BMNH In.17351,forewing,3.5,not_amber,35.95
Beraeodes vectensis,123960,Bembridge Marls (Hooley coll),BMNH In.24633,forewing,3.5,not_amber,35.95
Beraeodes vectensis,123960,Bembridge Marls (Hooley coll),BMNH In.25409,forewing,3.5,not_amber,35.95
Bethylonymus curtipes,105426,Karatau-Mikhailovka (PIN collection 2997),PIN 2997/655,forewing,3.5,not_amber,161.7
Bibionites priscus,104008,"Dinton, Vale of Wardour, Middle Purbeck",NA,wing,3.5,not_amber,142.6
Boletina umbratica,122092,Green River (Lee Collection),Lee 37,body,3.5,not_amber,48.25
Brachycleistogaster jurassica,113439,Karatau-Mikhailovka (PIN collection 2784),PIN 2784/1194,body,3.5,not_amber,161.7
Brachycleistogaster nigritibialis,105426,Karatau-Mikhailovka (PIN collection 2997),PIN 2997/4152,body,3.5,not_amber,161.7
Brachypeza procera,121480,Quesnel,GSC 4,wing,3.5,not_amber,28.465
Bruchus succintus,113749,"Wilson Ranch, Florissant",NA,body,3.5,not_amber,35.55
Buriataphis soporata,113354,"Baissa (PIN collection 4210, layer 4)",PIN 4210/2648,forewing,3.5,not_amber,119
Burmitembia venosa,123020,Burmese amber (BMNH coll),BMNH In. 19132,hindwing,3.5,amber,96.55
Bythoscopus robustus,122010,Rott (Statz coll),NA,tegmen,3.5,not_amber,25.715
Camptorrhinites orarius,126591,Bognor Regis beach,BMNH In. 49353,elytron,3.5,not_amber,51.9
Canthon (Boreocanthon) simplex,152007,"Rancho La Brea, Pit A (LACMIP 88)",LACMIP 2596,elytron,3.5,not_amber,0.156
Canthon (Boreocanthon) simplex,152007,"Rancho La Brea, Pit A (LACMIP 88)",LACMIP 2597,elytron,3.5,not_amber,0.156
Carabites anthracinus,131766,"Insektenmergel, Schambelen, Aargau",Pl XLI fig 68,elytron,3.5,not_amber,198.9
Carabites dubius,123987,"Dobbertin, Mecklenburg (Greifswald collection)",NA,elytron,3.5,not_amber,182.5
Cardiophorus deprivatus,106379,"Florissant, Station 13",NA,elytron,3.5,not_amber,35.55
Cavicarabus lucensus,156562,"TJ201, Layer 5, Jinshandian, Daye County",Beijing Museum of Natural History H16,elytron,3.5,not_amber,178.4
Cecidomium grandaevum,117342,"Durlston Bay, Middle Purbeck, Swanage (Brodie collection)",NA,wing,3.5,not_amber,142.6
