species,collection_no,collection_name,specimen_ID,part,length,amber,age_ma
Palaeopatasson grollei,153459,Dominican amber (MfN coll),Mfn Palao 1981/908b,forewing,0.486,amber,17.13
Leptoconops (Leptoconops) gravesi,164386,"La Robini?re (La Garnache), Vend?e amber",IGR.GAR-72.1,wing,0.49,amber,91.55
Anaphothrips perspicuus,127170,"Baltic Amber, Judge Fritsch (Goldap) collection (Kaliningrad Museum of Amber)",Fritsch Nr 10,forewing,0.5,amber,35.95
Baeodasymyia dominicana,122982,Dominican amber (AMNH coll),AMNH DR-8-112,wing,0.5,amber,17.13
Dasyhelea minuticola,122982,Dominican amber (AMNH coll),AMNH DR-8-114,wing,0.5,amber,17.13
Empheropsocus arilloi,108769,Pe±acerrada outcrop I,MCNA 8677,hindwing,0.5,amber,110.515
Galloromma agapa,35051,"Nizhnyaya Agapa River, Taimyr Amber (PIN collection 3426)",PIN 3426/25,body,0.5,amber,96.55
Leptoconops (Palaeoconops) amplificatus,123017,"Bchare Mountain, Lebanese amber (AMNH coll)",AMNH,wing,0.5,amber,127.2
Lestodiplosis kiefferis,152187,Madasgacar Copal (Evers collection),NA,body,0.5,amber,0.00585
Megaselia (Aphiochaeta) obstricta,152186,Accra Copal (Evers collection),Evers 2,wing,0.5,amber,0.00585
Microcaetiscus formidolosus,152187,Madasgacar Copal (Evers collection),NA,wing,0.5,amber,0.00585
Necrothrips nanus,127170,"Baltic Amber, Judge Fritsch (Goldap) collection (Kaliningrad Museum of Amber)",Fritsch Nr 20,forewing,0.5,amber,35.95
Pedicellicoccus marginatus,111688,Burmese amber (AMNH collection),AMNH Bu-458,forewing,0.5,amber,96.55
Praedendrothrips avus,127170,"Baltic Amber, Judge Fritsch (Goldap) collection (Kaliningrad Museum of Amber)",Fritsch Nr 4,forewing,0.5,amber,35.95
Schizoneurites similis,123762,Baltic Amber (University of Copenhagen ZMUC Collection),A-94. Type. C. V. Henningsen,body,0.5,amber,35.95
Taeniothrips parvus,129227,Bitterfeld amber (MfN collection),MfN MB.I.795,forewing,0.5,amber,25.565
Weitschatithrips apithanus,110735,"Baltic Amber, GPIH collection",GPIH 4364,forewing,0.5,amber,35.95
Protanaphothrips minoricornis,120813,Baltic Amber (Museum Ziemi collection),MZ 16275 TG,forewing,0.503,amber,35.95
Protanaphothrips vicinus,120813,Baltic Amber (Museum Ziemi collection),MZ 15708 TG,forewing,0.503,amber,35.95
Gedanohelea loewi,120813,Baltic Amber (Museum Ziemi collection),MZW 7056a,wing,0.51,amber,35.95
Germaraphis (Germaraphis) defuncta,123762,Baltic Amber (University of Copenhagen ZMUC Collection),Flauensgaard coll,body,0.51,amber,35.95
Jerseucoila plesiosoma,110895,White Oaks Pit (Old Crossman's Clay Pits),AMNH NJ-1006,forewing,0.51,amber,91.85
Protoclaviger trichodens,124463,Tadkeshwar lignite mine (Cambay amber),AMNH Tad-490,elytron,0.51,amber,51.9
Scaphothrips antennatus,124276,"Jezzine, Lebanese amber (SMNS collection)",SMNS C31/17,forewing,0.51,amber,127.2
Eohelea sinuosa,120813,Baltic Amber (Museum Ziemi collection),MZW 1884/1a-2,wing,0.512,amber,35.95
Neocomothrips hennigianus,124276,"Jezzine, Lebanese amber (SMNS collection)",SMNS C22/24//29,forewing,0.515,amber,127.2
Anaphothrips perspicuus,127170,"Baltic Amber, Judge Fritsch (Goldap) collection (Kaliningrad Museum of Amber)",Fritsch Nr 7,forewing,0.519,amber,35.95
Galloromma agapa,35051,"Nizhnyaya Agapa River, Taimyr Amber (PIN collection 3426)",PIN 3426/25,forewing,0.52,amber,96.55
Heleageron grimaldii,110895,White Oaks Pit (Old Crossman's Clay Pits),AMNH NJ-91,wing,0.52,amber,91.85
Pedicellicoccus marginatus,111688,Burmese amber (AMNH collection),AMNH Bu-458,body,0.52,amber,96.55
Protanaphothrips suspensus,129227,Bitterfeld amber (MfN collection),MfN MB.I.787,forewing,0.52,amber,25.565
Taeniothrips pietrzeniuki,129227,Bitterfeld amber (MfN collection),MfN MB.I.801,body,0.52,amber,25.565
Brachypogon (Brachypogon) americanus,123857,Dominican amber (Florida State Collection of Arthropods),FSCA 1794a,wing,0.525,amber,17.13
Protanaphothrips suspensus,120813,Baltic Amber (Museum Ziemi collection),MZ 15034 TG,forewing,0.527,amber,35.95
Protoxythrips bagnalli,120813,Baltic Amber (Museum Ziemi collection),MZ 14161 TG,forewing,0.527,amber,35.95
Schedodendrothrips ursulae,120813,Baltic Amber (Museum Ziemi collection),MZ 16536 TG,forewing,0.527,amber,35.95
Schedodendrothrips ursulae,120813,Baltic Amber (Museum Ziemi collection),MZ 16536 TG,body,0.527,amber,35.95
Atriculicoides swinhoei,104053,Burmese amber (Poinar collection),Poinar In. C-3,wing,0.53,amber,96.55
Culicoides grandibocus,110895,White Oaks Pit (Old Crossman's Clay Pits),AMNH NJ-15B,wing,0.53,amber,91.85
Parahoplothrips nicolaji,123419,"Baltic Amber, Deutsches Entomologische Institut collection",Hoffeins 13855,forewing,0.53,amber,35.95
Protanaphothrips suspensus,120813,Baltic Amber (Museum Ziemi collection),MZ 21481 TG,forewing,0.53,amber,35.95
Protoxythrips stenurus,129227,Bitterfeld amber (MfN collection),MfN MB.I.792,forewing,0.53,amber,25.565
Stenus methusalem,124318,Baltic amber (Wunderlich collection),Wunderlich F584,elytron,0.53,amber,35.95
Rosahendersonia prisca,111688,Burmese amber (AMNH collection),AMNH Bu-835,body,0.535,amber,96.55
Merothrips fritschi,127170,"Baltic Amber, Judge Fritsch (Goldap) collection (Kaliningrad Museum of Amber)",Fritsch Nr 1,forewing,0.536,amber,35.95
Protoxythrips fritschi,120813,Baltic Amber (Museum Ziemi collection),MZ 13806 TG,body,0.538,amber,35.95
Protoxythrips stenurus,124273,Bitterfeld amber (Hoffeins collection),Hoffeins 1477/3,forewing,0.538,amber,25.565
Alautunmyia elongata,110895,White Oaks Pit (Old Crossman's Clay Pits),AMNH NJ-47,wing,0.54,amber,91.85
Germaraphis (Henningsenia) ungulata,123762,Baltic Amber (University of Copenhagen ZMUC Collection),"Henningsen coll, Brendstrup coll, Kunstkammeret coll, Flauensgaard coll",body,0.54,amber,35.95
Incertothrips hoffeinsorum,124273,Bitterfeld amber (Hoffeins collection),Hoffeins 1294,body,0.54,amber,25.565
Minyohelea lebanica,124276,"Jezzine, Lebanese amber (SMNS collection)",SMNS C31/2,wing,0.54,amber,127.2
Protoculicoides krzeminskii,122471,"Mdeyrij-Hammana, Casa Baabda (Azar coll)",Azar 287A,wing,0.54,amber,123.955
