species,collection_no,lithology,specimen ID,part,measurement,mean
Cossonus meriani,115304,"""limestone""",C. meriani Oeningen type,elytron,width,1.5
Cossonus meriani,115304,"""limestone""",C. meriani Oeningen type,elytron,length,2.75
Cossonus meriani,115304,"""limestone""",C. meriani Oeningen type,body,width,1.375
Cossonus meriani,115304,"""limestone""",C. meriani Oeningen type,body,length,4.625
Cossonus spielbergii,115304,"""limestone""",C. spielbergii Oeningen type,elytron,width,1.375
Cossonus spielbergii,115304,"""limestone""",C. spielbergii Oeningen type,elytron,length,2.75
Curculionites redtenbacheri,117250,"""limestone""",C. redtenbacheri Radoboj type,body,width,2
Curculionites redtenbacheri,117250,"""limestone""",C. redtenbacheri Radoboj type,body,length,4.375
Cymindis pulchella,115304,"""limestone""",C. pulchella Oeningen type,elytron,width,0.875
Cymindis pulchella,115304,"""limestone""",C. pulchella Oeningen type,elytron,length,2.75
Cymindis pulchella,115304,"""limestone""",C. pulchella Oeningen type,body,length,4.5
Dermestes pauper,115305,"""limestone""",D. pauper Oeningen type,body,width,1.125
Dermestes pauper,115305,"""limestone""",D. pauper Oeningen type,body,length,3
Diacanthus sutor,115305,"""limestone""",D. sutor Oeningen type,elytron,width,1
Diacanthus sutor,115305,"""limestone""",D. sutor Oeningen type,elytron,length,4
Diacanthus sutor,115305,"""limestone""",D. sutor Oeningen type,body,width,1.625
Diacanthus sutor,115305,"""limestone""",D. sutor Oeningen type,body,length,5.5
Dicerca prisca,115304,"""limestone""",D. prisca Oeningen type,body,length,9.25
Dicerca prisca,115304,"""limestone""",D. prisca Oeningen type,elytron,width,2
Dicerca prisca,115304,"""limestone""",D. prisca Oeningen type,elytron,length,6.75
Donacia palaemonis,113689,"""limestone""",D. palaemonis Oeningen type,elytron,length,3.625
Donacia palaemonis,113689,"""limestone""",D. palaemonis Oeningen type,body,length,5.25
Dytiscus lavateri,115304,"""limestone""",D. lavateri Oeningen type,elytron,width,4.75
Dytiscus lavateri,115304,"""limestone""",D. lavateri Oeningen type,elytron,length,13
Dytiscus oeningensis,115304,"""limestone""",D. oeningensis Oeningen type,elytron,length,3.5
Dytiscus oeningensis,115304,"""limestone""",D. oeningensis Oeningen type,body,width,2.75
Dytiscus oeningensis,115304,"""limestone""",D. oeningensis Oeningen type,body,length,4.25
Elaterites lavateri,115304,"""limestone""",E. lavateri Oeningen type,elytron,width,1.25
Elaterites lavateri,115304,"""limestone""",E. lavateri Oeningen type,elytron,length,3
Elaterites lavateri,115304,"""limestone""",E. lavateri Oeningen type,body,width,1.5
Elaterites lavateri,115304,"""limestone""",E. lavateri Oeningen type,body,length,5
Elaterites obsoletus,115304,"""limestone""",E. obsoletus Oeningen type,body,length,7.5
Escheria ovalis,115304,"""limestone""",E. ovalis Oeningen type,elytron,length,5
Escheria ovalis,115304,"""limestone""",E. ovalis Oeningen type,body,length,7.25
Eurythyrea longipennis,115304,"""limestone""",E. longipennis Oeningen type,elytron,width,4.5
Eurythyrea longipennis,115304,"""limestone""",E. longipennis Oeningen type,elytron,length,8.75
Eurythyrea longipennis,115304,"""limestone""",E. longipennis Oeningen type,body,length,11.5
Eutermes debilis,117251,amber,T. debilis Zurich type,wing,width,1.25
Eutermes debilis,117251,amber,T. debilis Zurich type,wing,length,3.375
Eutermes debilis,117251,amber,T. debilis Zurich type,body,length,2
Formica demersa,113689,"""limestone""",F. demersa unknown,body,width,1
Formica demersa,113689,"""limestone""",F. demersa unknown,body,length,4
Formica globiventris,117339,"""limestone""",F. globiventris Alberti type,wing,length,2.5
Formica globiventris,117339,"""limestone""",F. globiventris Alberti type,body,width,0.75
Formica globiventris,117339,"""limestone""",F. globiventris Alberti type,body,length,2.875
Formica gravida,113689,"""limestone""",F. gravida unknown,forewing,width,1.5
Formica gravida,113689,"""limestone""",F. gravida unknown,forewing,length,4.75
Formica gravida,113689,"""limestone""",F. gravida unknown,body,width,1.25
Formica gravida,113689,"""limestone""",F. gravida unknown,body,length,6.5
Formica immersa,113695,"""limestone""",F. immersa Oeningen type,wing,width,1.375
Formica immersa,113695,"""limestone""",F. immersa Oeningen type,wing,length,4
Formica immersa,113695,"""limestone""",F. immersa Oeningen type,body,width,1
Formica immersa,113695,"""limestone""",F. immersa Oeningen type,body,length,5.25
Formica lavateri,113695,"""limestone""",F. lavateri Oeningen type,body,width,1
Formica lavateri,113695,"""limestone""",F. lavateri Oeningen type,body,length,4.5
Formica longicollis,115305,"""limestone""",F. longicollis Carlsruhe type,wing,width,2
Formica longicollis,115305,"""limestone""",F. longicollis Carlsruhe type,wing,length,6.5
Formica longicollis,115305,"""limestone""",F. longicollis Carlsruhe type,body,length,7.5
Formica macrocephala,115304,"""limestone""",F. macrocephala oeningensis type,body,width,0.75
Formica macrocephala,115304,"""limestone""",F. macrocephala oeningensis type,body,length,3.875
Formica macrophthalma,115305,"""limestone""",F. macrophthalma unknown,body,width,0.625
Formica macrophthalma,115305,"""limestone""",F. macrophthalma unknown,body,length,4.375
Formica orbata,115304,"""limestone""",F. orbata unknown,body,length,3.875
Formica primitiva,113695,"""limestone""",F. primitiva Oeningen type,forewing,length,3.75
Formica primitiva,113695,"""limestone""",F. primitiva Oeningen type,body,length,4.5
Formica primordialis,113695,"""limestone""",F. primordialis Oeningen type,forewing,width,1.5
Formica primordialis,113695,"""limestone""",F. primordialis Oeningen type,forewing,length,4.5
Formica primordialis,113695,"""limestone""",F. primordialis Oeningen type,body,width,0.875
Formica primordialis,113695,"""limestone""",F. primordialis Oeningen type,body,length,6
Formica primordialis,117338,"""limestone""",F. primordialis worker,head,width,0.75
Formica primordialis,117338,"""limestone""",F. primordialis worker,head,length,1
Formica primordialis,117338,"""limestone""",F. primordialis worker,body,width,0.75
Formica primordialis,117338,"""limestone""",F. primordialis worker,body,length,5.25
Formica procera,113689,"""limestone""",F. procera Seyfried coll,body,width,1.75
Formica procera,113689,"""limestone""",F. procera Seyfried coll,body,length,9.25
Formica pulchella,113689,"""limestone""",F. pulchella Seyfried type,wing,length,2.75
Formica pulchella,113689,"""limestone""",F. pulchella Seyfried type,body,width,0.625
Formica pulchella,113689,"""limestone""",F. pulchella Seyfried type,body,length,3.75
Formica seuberti,113695,"""limestone""",F. seuberti Oeningen type,wing,length,4
Formica seuberti,113695,"""limestone""",F. seuberti Oeningen type,body,width,1.125
Formica seuberti,113695,"""limestone""",F. seuberti Oeningen type,body,length,3.625
Fuesslinia amoena,113689,"""limestone""",F. amoena Oeningen type,elytron,width,1.25
Fuesslinia amoena,113689,"""limestone""",F. amoena Oeningen type,elytron,length,4.75
Fuesslinia amoena,113689,"""limestone""",F. amoena Oeningen type,body,width,2.25
Fuesslinia amoena,113689,"""limestone""",F. amoena Oeningen type,body,length,6.75
Glenopterus laevigatus,117252,"""limestone""",G. laevigatus Oeningen type,elytron,width,2.5
Glenopterus laevigatus,117252,"""limestone""",G. laevigatus Oeningen type,elytron,length,5.375
Glenopterus laevigatus,117252,"""limestone""",G. laevigatus Oeningen type,body,width,5
Glenopterus laevigatus,117252,"""limestone""",G. laevigatus Oeningen type,body,length,8.75
Glyptotermes pusillus,123418,amber,T. pusillus Bernstein type,wing,width,0.625
Glyptotermes pusillus,123418,amber,T. pusillus Bernstein type,wing,length,2.5
Glyptotermes pusillus,123418,amber,T. pusillus Bernstein type,body,length,1.875
Gomphocerus femoralis,113689,"""limestone""",G. femoralis type,tegmen,length,5.875
Gonioctena japeti,117252,"""limestone""",G. japeti Oeningen type,elytron,width,1
Gonioctena japeti,117252,"""limestone""",G. japeti Oeningen type,elytron,length,2.625
Gonioctena japeti,117252,"""limestone""",G. japeti Oeningen type,body,length,3.75
Gymnopleurus sisyphus,117252,"""limestone""",G. sisphyus Oeningen type,body,width,3.25
Gymnopleurus sisyphus,117252,"""limestone""",G. sisphyus Oeningen type,body,length,4.125
Gynacantha polydore,115305,"""limestone""",A. polydore Carlsruhe type,forewing,length,18
Gynacantha polydore,115305,"""limestone""",A. polydore Carlsruhe type,hindwing,length,17.875
Harpalus sinis,115305,"""limestone""",H. sinis Oeningen type,elytron,width,1.1875
Harpalus sinis,115305,"""limestone""",H. sinis Oeningen type,elytron,length,3.25
Harpalus sinis,115305,"""limestone""",H. sinis Oeningen type,body,length,5.25
Harpalus tabidus,117250,"""limestone""",H. tabidus Radoboj type,elytron,width,1.5
Harpalus tabidus,117250,"""limestone""",H. tabidus Radoboj type,elytron,length,2.75
Helops meissneri,115305,"""limestone""",H. meissneri Oeningen type,elytron,width,2.5
Helops meissneri,115305,"""limestone""",H. meissneri Oeningen type,elytron,length,5.75
Helops meissneri,115305,"""limestone""",H. meissneri Oeningen type,body,length,8.75
Hemiteles fasciata,117250,"""limestone""",H. fasciata Radoboj type,wing,width,0.875
Hemiteles fasciata,117250,"""limestone""",H. fasciata Radoboj type,wing,length,2.375
Hemiteles fasciata,117250,"""limestone""",H. fasciata Radoboj type,body,width,0.875
Hemiteles fasciata,117250,"""limestone""",H. fasciata Radoboj type,body,length,3.75
Hydaticus zschokkeanus,122210,"""limestone""",D. zschokkeanus Oeningen type,elytron,length,4.375
Hydaticus zschokkeanus,122210,"""limestone""",D. zschokkeanus Oeningen type,body,width,3.375
Hydaticus zschokkeanus,122210,"""limestone""",D. zschokkeanus Oeningen type,body,length,5.875
Hydrobius longicollis,117246,"""limestone""",H. longicollis Radoboj type,body,width,2
Hydrobius longicollis,117246,"""limestone""",H. longicollis Radoboj type,body,length,4.75
Hydrochara noachica,115304,"""limestone""",H. noachicus Oeningen type,elytron,width,2.375
Hydrophilus carbonarius,115306,not reported,H. carbonarius Parschlug type,elytron,width,3.5
Hydrophilus carbonarius,115306,not reported,H. carbonarius Parschlug type,elytron,length,9.5
Hydrophilus spectabilis,115304,"""limestone""",H. spectabilis Lavater specimen 1,elytron,length,14.75
Hydrophilus spectabilis,115304,"""limestone""",H. spectabilis Lavater specimen 2,elytron,length,13.25
Hydrophilus spectabilis,115305,"""limestone""",H. knorrii Oeningen type,elytron,width,5.25
Hydrophilus spectabilis,115305,"""limestone""",H. knorrii Oeningen type,elytron,length,13.625
Hydrophilus vexatorius,115304,"""limestone""",H. vexatorius Lavater specimen,elytron,width,5.5
Hydrophilus vexatorius,115304,"""limestone""",H. vexatorius Lavater specimen,elytron,length,15.25
Hydrophilus vexatorius,115305,"""limestone""",H. vexatorius Carlsruhe type,elytron,width,5.125
Hydrophilus vexatorius,115305,"""limestone""",H. vexatorius Carlsruhe type,elytron,length,14.625
Imhoffia nigra,113689,"""limestone""",I. nigra Seyfried coll,body,length,3.5
Ischnodes gracilis,115304,"""limestone""",I. gracilis Oeningen type,elytron,length,2.75
Ischnodes gracilis,115304,"""limestone""",I. gracilis Oeningen type,body,length,4
Lacon primordialis,115304,"""limestone""",L. primordialis Oeningen type,elytron,length,3.75
Lacon primordialis,115304,"""limestone""",L. primordialis Oeningen type,body,length,5.25
Leptoscelis humata,113964,not reported,NA,tegmen,width,1.33
Leptoscelis humata,113964,not reported,NA,tegmen,length,6
Leptoscelis humata,113964,not reported,NA,body,length,9
Leptoscelis humata,113964,not reported,NA,body,width,2.67
Lestes leucosia,115304,"""limestone""",A. leucosia Lavater type,wing,width,3.625
Lestes leucosia,115304,"""limestone""",A. leucosia Lavater type,wing,length,17.75
Lestes ligea,113695,"""limestone""",A. ligea Oeningen type,wing,width,3.25
Lestes ligea,113695,"""limestone""",A. ligea Oeningen type,wing,length,14.5
Limnobia cingulata,117761,"""limestone""",L. cingulata Wien type,wing,width,1.375
Limnobia cingulata,117761,"""limestone""",L. cingulata Wien type,wing,length,4.625
Limnobia cingulata,117761,"""limestone""",L. cingulata Wien type,body,length,4.625
Limnobia debilis,117761,"""limestone""",L. debilis Wien type,wing,length,3.25
Limnobia debilis,117761,"""limestone""",L. debilis Wien type,body,length,3.25
Limnobia formosa,117250,"""limestone""",L. formosa type,wing,width,1.5
Limnobia formosa,117250,"""limestone""",L. formosa type,wing,length,6.125
Limnobia formosa,117250,"""limestone""",L. formosa type,body,length,5
Limnobia tenuis,117761,"""limestone""",L. tenuis Wien type,wing,width,1.25
Limnobia tenuis,117761,"""limestone""",L. tenuis Wien type,wing,length,3.75
Limnobia tenuis,117761,"""limestone""",L. tenuis Wien type,body,length,3
Limnobia vetusta,117761,"""limestone""",L. vetusta Wien type,wing,width,1.375
Limnobia vetusta,117761,"""limestone""",L. vetusta Wien type,wing,length,4.5
Limonius optabilis,115304,"""limestone""",L. optabilis Oeningen type,elytron,length,3.25
Limonius optabilis,115304,"""limestone""",L. optabilis Oeningen type,body,length,4.875
Lina populeti,115304,"""limestone""",L. populeti Oeningen type,elytron,width,1.375
Lina populeti,115304,"""limestone""",L. populeti Oeningen type,elytron,length,3.5
Lina populeti,115304,"""limestone""",L. populeti Oeningen type,body,length,4.75
Lygaeus fossitius,113964,not reported,NA,tegmen,width,0.67
Lygaeus fossitius,113964,not reported,NA,tegmen,length,3
Lygaeus fossitius,113964,not reported,NA,body,length,4.5
Lygaeus fossitius,113964,not reported,NA,body,width,1.33
Lytta aesculapii,115304,"""limestone""",L. aescapulii type,elytron,width,1.25
Lytta aesculapii,115304,"""limestone""",L. aescapulii type,elytron,length,5.25
Lytta aesculapii,115304,"""limestone""",L. aescapulii type,body,length,9.25
Macrelcana ungeri,115307,"""limestone""",NA,hindwing,length,20.5
Macrotermes pristinus,117246,"""limestone""",T. pristinus Charpentier type,body,length,6.25
Macrotermes pristinus,117246,"""limestone""",T. pristinus Charpentier type,wing,length,10.625
Malachius vertummni,115304,"""limestone""",M. vertummni Lavater specimen,body,width,0.75
Malachius vertummni,115304,"""limestone""",M. vertummni Lavater specimen,body,length,3.5
Mantis protogaea,115304,"""limestone""",M. protogaea type,body,length,20
Meloe podalirii,117250,"""limestone""",M. podalirii Radoboj type,elytron,length,5
Meloe podalirii,117250,"""limestone""",M. podalirii Radoboj type,body,length,6.5
Melolontha greithiana,122212,marl,M. greithiana Greith type,elytron,width,3.125
Melolontha greithiana,122212,marl,M. greithiana Greith type,elytron,length,9.25
Melolonthites deperdita,115304,"""limestone""",M. deperdita Oeningen type,body,width,2.5
Melolonthites deperdita,115304,"""limestone""",M. deperdita Oeningen type,body,length,4.25
Melolonthites kollari,115306,not reported,M. kollari Parschlug type,elytron,width,1.875
Melolonthites kollari,115306,not reported,M. kollari Parschlug type,elytron,length,4.5
Melolonthites lavateri,115304,"""limestone""",M. lavateri Oeningen type,elytron,width,1.625
Melolonthites lavateri,115304,"""limestone""",M. lavateri Oeningen type,elytron,length,3.75
Melolonthites parschlugiana,115306,not reported,M. parschlugiana Parschlug type,elytron,width,3.25
Melolonthites parschlugiana,115306,not reported,M. parschlugiana Parschlug type,elytron,length,7.375
Mesosa jasonis,115305,"""limestone""",M. jasonis Oeningen type,elytron,width,1.75
Mesosa jasonis,115305,"""limestone""",M. jasonis Oeningen type,elytron,length,6
Mesosa jasonis,115305,"""limestone""",M. jasonis Oeningen type,body,width,2.25
Mesosa jasonis,115305,"""limestone""",M. jasonis Oeningen type,body,length,8.75
Miotermes insignis,113689,"""limestone""",T. insignis Seyfried type,wing,length,13
Miotermes insignis,113689,"""limestone""",T. insignis Seyfried type,body,width,3.25
Miotermes insignis,113689,"""limestone""",T. insignis Seyfried type,body,length,9.5
Miotermes procerus,117246,"""limestone""",T. procerus Gratz type,wing,length,16.125
Miotermes procerus,117246,"""limestone""",T. procerus Gratz type,body,width,2.25
Miotermes procerus,117246,"""limestone""",T. procerus Gratz type,body,length,8.5
Miotermes spectabilis,117248,"""limestone""",T. spectabilis Stuttgart type,wing,width,4
Miotermes spectabilis,117248,"""limestone""",T. spectabilis Stuttgart type,wing,length,14.5
Miotermes spectabilis,117248,"""limestone""",T. spectabilis Stuttgart type,body,length,9.5
Molytes hassencampi,113964,not reported,NA,elytron,length,3
Molytes hassencampi,113964,not reported,NA,body,length,4
Mycterus molassicus,115304,"""limestone""",M. molassicus Oeningen type,elytron,width,1
Mycterus molassicus,115304,"""limestone""",M. molassicus Oeningen type,elytron,length,3.75
Mycterus molassicus,115304,"""limestone""",M. molassicus Oeningen type,body,length,5.25
Mylothrites pluto,117247,"""limestone""",V. pluto Wien type,forewing,width,8.75
Mylothrites pluto,117247,"""limestone""",V. pluto Wien type,forewing,length,15
Myrmica aemula,115306,not reported,M. aemula Parschlug type,wing,width,1
Myrmica aemula,115306,not reported,M. aemula Parschlug type,wing,length,3
Myrmica angusticollis,115304,"""limestone""",M. angusticollis Lavater type,body,width,0.5
Myrmica angusticollis,115304,"""limestone""",M. angusticollis Lavater type,body,length,4
Myrmica macrocephala,113695,"""limestone""",M. macrocephala Oeningen type,wing,length,4.5
Myrmica macrocephala,113695,"""limestone""",M. macrocephala Oeningen type,body,width,1.25
Myrmica macrocephala,113695,"""limestone""",M. macrocephala Oeningen type,body,length,5.875
Myrmica molassica,113695,"""limestone""",M. molassica Oeningen type,body,width,0.875
Myrmica molassica,113695,"""limestone""",M. molassica Oeningen type,body,length,4.75
Myrmica obsoleta,115306,not reported,M. obsoleta Parschlug type,wing,width,1.875
Myrmica obsoleta,115306,not reported,M. obsoleta Parschlug type,wing,length,4
Nitidula melanaria,115304,"""limestone""",N. melanaria Oeningen type,elytron,width,0.875
Nitidula melanaria,115304,"""limestone""",N. melanaria Oeningen type,elytron,length,1.875
Nitidula melanaria,115304,"""limestone""",N. melanaria Oeningen type,body,length,3
Noctuites effosa,117761,"""limestone""",N. effosa Wien type,wing,width,4.5
Noctuites effosa,117761,"""limestone""",N. effosa Wien type,wing,length,10
Noctuites haidingeri,117761,"""limestone""",N. haidingeri Wien type,wing,width,3.375
Noctuites haidingeri,117761,"""limestone""",N. haidingeri Wien type,wing,length,6.5
Oecophylla obesa,115305,"""limestone""",F. pinguis oeningensis Carlsruhe,body,width,1.75
Oecophylla obesa,115305,"""limestone""",F. pinguis oeningensis Carlsruhe,body,length,8
Omalium protogaeae,117246,"""limestone""",O. protogaeae Radoboj type,body,length,2
Oplonaeschna metis,117250,"""limestone""",A. metis Radoboj type,hindwing,width,8
Oplonaeschna metis,117250,"""limestone""",A. metis Radoboj type,hindwing,length,24.5
Oreina amphyctionis,115304,"""limestone""",O. amphyctionis Oeningen type,elytron,width,2.625
Oreina amphyctionis,115304,"""limestone""",O. amphyctionis Oeningen type,elytron,length,4
Oreina hellenis,115304,"""limestone""",O. hellenis Oeningen type,elytron,width,1.375
Oreina hellenis,115304,"""limestone""",O. hellenis Oeningen type,elytron,length,3.125
Oreina hellenis,115304,"""limestone""",O. hellenis Oeningen type,body,length,4.625
Oreina protogeniae,115304,"""limestone""",O. protogeniae Oeningen type,elytron,width,1.625
Oreina protogeniae,115304,"""limestone""",O. protogeniae Oeningen type,elytron,length,3.75
Oreina protogeniae,115304,"""limestone""",O. protogeniae Oeningen type,body,length,5.5
Peltis tricostata,115304,"""limestone""",P. tricostata Oeningen type,elytron,width,2.25
Peltis tricostata,115304,"""limestone""",P. tricostata Oeningen type,elytron,length,5.625
Phalaenites crenatus,117761,"""limestone""",P. crenata Wien type,hindwing,width,7
Phalaenites crenatus,117761,"""limestone""",P. crenata Wien type,hindwing,length,13.75
Phalaenites obsoleta,117761,"""limestone""",P. obsoleta Wien type,hindwing,width,3.25
Phalaenites obsoleta,117761,"""limestone""",P. obsoleta Wien type,hindwing,length,7.25
Pissodes effossus,113964,not reported,NA,body,length,2.33
Polistes attavina,115306,not reported,V. attavina Parschlug type,wing,width,1.5
Polistes attavina,115306,not reported,V. attavina Parschlug type,wing,length,7
Pompilus induratus,115305,"""limestone""",P. induratus Carlsruhe type,body,width,1.25
Pompilus induratus,115305,"""limestone""",P. induratus Carlsruhe type,body,length,4.75
Ponera croatica,117247,"""limestone""",P. croatica Wien type,forewing,width,1.25
Ponera croatica,117247,"""limestone""",P. croatica Wien type,forewing,length,4
Ponera croatica,117247,"""limestone""",P. croatica Wien type,body,width,0.875
Ponera croatica,117247,"""limestone""",P. croatica Wien type,body,length,4.75
Poneropsis crassinervis,115306,not reported,P. crassinervis Parschlug type,wing,width,1.5
Poneropsis crassinervis,115306,not reported,P. crassinervis Parschlug type,wing,length,3.75
Poneropsis fuliginosa,113689,"""limestone""",P. fuliginosa Seyfried coll,forewing,width,1.25
Poneropsis fuliginosa,113689,"""limestone""",P. fuliginosa Seyfried coll,forewing,length,4.5
Poneropsis fuliginosa,113689,"""limestone""",P. fuliginosa Seyfried coll,body,width,1
Poneropsis fuliginosa,113689,"""limestone""",P. fuliginosa Seyfried coll,body,length,6
Poneropsis globosa,117252,"""limestone""",P. globosa Zurich type,body,width,1.125
Poneropsis globosa,117252,"""limestone""",P. globosa Zurich type,body,length,4.125
Poneropsis longaeva,113689,"""limestone""",P. longaeva Seyfried type,wing,length,3.875
Poneropsis longaeva,113689,"""limestone""",P. longaeva Seyfried type,body,width,1
Poneropsis longaeva,113689,"""limestone""",P. longaeva Seyfried type,body,length,3.875
Poneropsis ventrosa,113689,"""limestone""",P. ventrosa Seyfried type,wing,width,1.625
Poneropsis ventrosa,113689,"""limestone""",P. ventrosa Seyfried type,wing,length,5
Pontia freyeri,117761,"""limestone""",P. freyeri Wien type,forewing,width,5.5
Pontia freyeri,117761,"""limestone""",P. freyeri Wien type,forewing,length,9.75
Pristorhynchus ellipticus,113689,"""limestone""",P. ellipticus Oeningen type,elytron,length,3.625
Pristorhynchus ellipticus,113689,"""limestone""",P. ellipticus Oeningen type,body,width,2.625
Pristorhynchus ellipticus,113689,"""limestone""",P. ellipticus Oeningen type,body,length,5.75
Protactus erichsoni,115304,"""limestone""",P. erichsonii Oeningen type,elytron,width,1.75
Protactus erichsoni,115304,"""limestone""",P. erichsonii Oeningen type,elytron,length,5.5
Protactus erichsoni,115304,"""limestone""",P. erichsonii Oeningen type,body,width,2.5
Protactus erichsoni,115304,"""limestone""",P. erichsonii Oeningen type,body,length,13
Protainophthalmus rugicollis,115304,"""limestone""",L. rugicollis Oeningen type,elytron,length,5
Protainophthalmus rugicollis,115304,"""limestone""",L. rugicollis Oeningen type,body,length,7.125
Protogenia escheri,117252,"""limestone""",P. escheri Oeningen type,elytron,width,1.75
Protogenia escheri,117252,"""limestone""",P. escheri Oeningen type,elytron,length,6.5
Rhipidia extincta,117761,"""limestone""",R. extincta Wien spec,wing,width,1.375
Rhipidia extincta,117761,"""limestone""",R. extincta Wien spec,wing,length,4.625
Rhipidia picta,117761,"""limestone""",R. picta Wien type,wing,width,1.25
Rhipidia picta,117761,"""limestone""",R. picta Wien type,wing,length,4
Rhipidia propinqua,117761,"""limestone""",R. propinqua Wien type,wing,width,1.25
Rhipidia propinqua,117761,"""limestone""",R. propinqua Wien type,wing,length,3.625
Rhizotrogus longimanus,115305,"""limestone""",R. longimanus Oeningen type,elytron,width,1.375
Rhizotrogus longimanus,115305,"""limestone""",R. longimanus Oeningen type,elytron,length,3.125
Rhizotrogus longimanus,115305,"""limestone""",R. longimanus Oeningen type,body,length,5.5
Rhynchites silenus,113695,"""limestone""",R. silenus Oeningen type,elytron,length,1.375
Saperda nephele,113689,"""limestone""",S. nephele Oeningen type,elytron,width,1.25
Saperda nephele,113689,"""limestone""",S. nephele Oeningen type,elytron,length,5.875
Saperda nephele,113689,"""limestone""",S. nephele Oeningen type,body,width,2
Saperda nephele,113689,"""limestone""",S. nephele Oeningen type,body,length,7.25
Scaphidium deletum,115305,"""limestone""",S. deletum Oeningen type,body,length,2.375
Sitona attavina,115304,"""limestone""",S. attavina Oeningen type,elytron,length,1.5
Sitona attavina,115304,"""limestone""",S. attavina Oeningen type,body,length,2.5
Sphenophorus naegelianus,115304,"""limestone""",S. naegelianus Oeningen type,elytron,length,3.625
Sphenophorus naegelianus,115304,"""limestone""",S. naegelianus Oeningen type,body,length,5.5
Sphenophorus regelianus,115304,"""limestone""",S. regelianus Oeningen type,elytron,length,4.5
Sphenoptera gigantea,115304,"""limestone""",S. gigantea Oeningen type,elytron,length,8.5
Sphenoptera gigantea,115304,"""limestone""",S. gigantea Oeningen type,body,width,3.625
Sphenoptera gigantea,115304,"""limestone""",S. gigantea Oeningen type,body,length,12.25
Steropoides parthenope,117252,"""limestone""",A. parthenope Zurich type,wing,width,3.75
Steropoides parthenope,117252,"""limestone""",A. parthenope Zurich type,wing,length,16.75
Steropoides parthenope,117252,"""limestone""",A. parthenope Zurich type,body,length,22.5
Taxonus vetustus,113689,"""limestone""",T. venusta Seyfried type,wing,width,1.75
Taxonus vetustus,113689,"""limestone""",T. venusta Seyfried type,wing,length,4.875
Telephorus fragilis,115305,"""limestone""",T. fragilis Oeningen type,elytron,length,2.25
Telephorus fragilis,115305,"""limestone""",T. fragilis Oeningen type,body,length,3.5
Telephorus germari,115305,"""limestone""",T. germari Oeningen type,elytron,width,1.25
Telephorus germari,115305,"""limestone""",T. germari Oeningen type,elytron,length,4
Telephorus tertiarius,117250,"""limestone""",T. tertiarius radobojanus type,elytron,length,3.25
Telephorus tertiarius,113695,"""limestone""",T. tertiarius oeningensis type,elytron,width,1
Telephorus tertiarius,113695,"""limestone""",T. tertiarius oeningensis type,elytron,length,3.5
Tephritis antiqua,117246,"""limestone""",NA,wing,width,1
Tephritis antiqua,117246,"""limestone""",NA,wing,length,2.125
Termes (Eutermes) obscurus,117250,"""limestone""",T. obscurus Heer type,wing,width,1.75
Termes (Eutermes) obscurus,117250,"""limestone""",T. obscurus Heer type,wing,length,6.125
Termopsis bremii,117249,amber,T. bremii type,wing,width,2.125
Termopsis bremii,117249,amber,T. bremii type,wing,length,7
Termopsis bremii,117249,amber,T. bremii type,body,length,5.5
Tipula aemula,117250,"""limestone""",T. aemula wing,wing,width,2.5
Tipula aemula,117250,"""limestone""",T. aemula wing,wing,length,8.75
Tipula heeriana,117761,"""limestone""",T. lineata Wien type,wing,width,2.25
Tipula heeriana,117761,"""limestone""",T. lineata Wien type,wing,length,8.5
Tipula heeriana,117761,"""limestone""",T. lineata Wien type,body,width,1.5
Tipula heeriana,117761,"""limestone""",T. lineata Wien type,body,length,10.25
Tipula maculipennis,117246,"""limestone""",T. maculipennis Gratz spec,wing,width,2.125
Tipula maculipennis,117246,"""limestone""",T. maculipennis Gratz spec,wing,length,7.25
Tipula maculipennis,117246,"""limestone""",T. maculipennis Gratz spec,body,width,1.375
Tipula maculipennis,117246,"""limestone""",T. maculipennis Gratz spec,body,length,8
Tipula obtecta,117761,"""limestone""",T. obtecta Wien type,wing,length,6.625
Tipula obtecta,117761,"""limestone""",T. obtecta Wien type,body,width,1.5
Tipula obtecta,117761,"""limestone""",T. obtecta Wien type,body,length,8.5
Tipula varia,117761,"""limestone""",T. varia Wien type,wing,width,2
Tipula varia,117761,"""limestone""",T. varia Wien type,wing,length,6.25
Tipula varia,117761,"""limestone""",T. varia Wien type,body,length,7
Trichius amoenus,115304,"""limestone""",T. amoenus Oeningen type,elytron,width,0.875
Trichius amoenus,115304,"""limestone""",T. amoenus Oeningen type,elytron,length,3
Trichius amoenus,115304,"""limestone""",T. amoenus Oeningen type,body,length,5.75
Trogossita koellikeri,115305,"""limestone""",T. koellikeri Oeningen type,elytron,width,1.75
Trogossita koellikeri,115305,"""limestone""",T. koellikeri Oeningen type,elytron,length,5.375
Trogossita koellikeri,115305,"""limestone""",T. koellikeri Oeningen type,body,width,1.75
Trogossita koellikeri,115305,"""limestone""",T. koellikeri Oeningen type,body,length,9.25
NA,123985,lime mudstone,NHMM 93,wing,length,50
NA,123985,lime mudstone,NA,wing,length,44
NA,123985,lime mudstone,NA,body,length,90
NA,123985,lime mudstone,NA,NA,length,53
NA,113705,"""shale""/diatomite",BMNH In 26942,tegmen,width,3.3
NA,113705,"""shale""/diatomite",BMNH In 26942,tegmen,length,20
NA,113711,"""limestone""",METH,body,length,50
NA,113698,"""limestone""",NA,elytron,width,6.75
