species,collection_no,lithology,specimen ID,part,measurement,mean
Antemnacrassa maculata,106103,siltstone/marl,PIN 4210/711,elytron,length,5
Antemnacrassa maculata,106103,siltstone/marl,PIN 4210/711,body,width,3
Antemnacrassa maculata,106103,siltstone/marl,PIN 4210/711,body,length,12.6
Antemnacrassa maculata,106103,siltstone/marl,PIN 4210/711,hindwing,length,8.5
Antemnacrassa magna,105969,marl,PIN 3064/947,elytron,length,13.4
Antemnacrassa monreali,152685,"""limestone""",NA,elytron,length,11
Antemnacrassa monreali,152685,"""limestone""",NA,body,length,21
Antemnacrassa nebulosa,113403,siltstone/marl,PIN 1668/1809,elytron,width,3.1
Antemnacrassa nebulosa,113403,siltstone/marl,PIN 1668/1809,elytron,length,7.2
Antemnacrassa nigrimontana,106279,siltstone,PIN 2904/870,elytron,width,4.7
Antemnacrassa nigrimontana,106279,siltstone,PIN 2904/870,elytron,length,10.6
Antemnacrassa nigrimontana,106279,siltstone,PIN 2904/870,body,width,9.2
Antemnacrassa nigrimontana,106279,siltstone,PIN 2904/870,body,length,17.2
Antemnacrassa picturata,105536,siltstone/marl,PIN 1989/2994,elytron,width,2.8
Antemnacrassa picturata,105536,siltstone/marl,PIN 1989/2994,elytron,length,6.6
Antemnacrassa picturata,105536,siltstone/marl,PIN 1989/2994,body,width,4.5
Antemnacrassa picturata,105536,siltstone/marl,PIN 1989/2994,body,length,10.5
Antemnacrassa punctata,122332,"""shale""/sandstone",PIN 3149/978,elytron,width,5
Antemnacrassa punctata,122332,"""shale""/sandstone",PIN 3149/978,elytron,length,9
Antemnacrassa punctata,122332,"""shale""/sandstone",PIN 3149/978,body,length,16
Antemnacrassa sulcata,113403,siltstone/marl,PIN 1688/1785,elytron,width,1.5
Antemnacrassa sulcata,113403,siltstone/marl,PIN 1688/1785,elytron,length,4.2
Antemnacrassa sulcata,113403,siltstone/marl,PIN 1688/1785,body,width,3
Antemnacrassa sulcata,113403,siltstone/marl,PIN 1688/1785,body,length,6
Antemnacrassa vitimensis,113403,siltstone/marl,PIN 1668/1805,elytron,width,2.2
Antemnacrassa vitimensis,113403,siltstone/marl,PIN 1668/1805,elytron,length,6.2
Antemnacrassa vitimensis,113403,siltstone/marl,PIN 1668/1805,body,width,4.5
Antemnacrassa vitimensis,113403,siltstone/marl,PIN 1668/1805,body,length,8.7
Anteonopsis antiquus,105375,mudstone,PIN 3901/130,body,length,7.2
Anteucoila delicia,122389,amber,RTMP 96.9.785,forewing,length,0.6
Anteucoila delicia,122389,amber,RTMP 96.9.785,body,length,0.63
Anthaxia beneckei,121473,marl,A. beneckei d2 type,elytron,width,1.1
Anthaxia beneckei,121473,marl,A. beneckei d2 type,elytron,length,5.5
Anthaxia beneckei,121473,marl,A. beneckei d2 type,body,width,2.3
Anthaxia beneckei,121473,marl,A. beneckei d2 type,body,length,7
Anthaxia biimpressa,113685,diatomite,Coll. Piton 926,elytron,length,7.4
Anthaxia biimpressa,113685,diatomite,Coll. Piton 926,body,width,3.5
Anthaxia biimpressa,113685,diatomite,Coll. Piton 926,body,length,10
Anthaxia exhumata,124624,"""shale""",USNM 59642,elytron,width,1.5
Anthaxia exhumata,124624,"""shale""",USNM 59642,elytron,length,4.9
Anthaxia exhumata,124624,"""shale""",USNM 59642,body,width,2.9
Anthaxia exhumata,124624,"""shale""",USNM 59642,body,length,7
Anthaxia ventricosa,113685,diatomite,Coll. Piton 270,elytron,length,5.6
Anthaxia ventricosa,113685,diatomite,Coll. Piton 270,body,length,8
Antherophagus megalops,122093,"""shale""/""volcaniclastic""",PU 6564,body,length,4.3
Antherophagus priscus,121306,"diatomite/""shale""",NA,elytron,width,0.9
Antherophagus priscus,121306,"diatomite/""shale""",NA,elytron,length,2.1
Antherophagus priscus,121306,"diatomite/""shale""",NA,body,width,1.65
Antherophagus priscus,121306,"diatomite/""shale""",NA,body,length,3.2
Anthicus melancholicus,122487,"""limestone""",NA,body,length,2.5
Anthicus neli,123306,claystone,MCNA 7435,elytron,length,1.75
Anthicus neli,123306,claystone,MCNA 7435,body,width,0.6
Anthicus neli,123306,claystone,MCNA 7435,body,length,3.4
Anthicus sepultulus,151863,"mudstone/""limestone""",NA,elytron,length,2
Anthicus sepultulus,151863,"mudstone/""limestone""",NA,body,length,3.4
Anthidium basalticum,138944,mudstone,KO138,forewing,length,13.1
Anthidium basalticum,138944,mudstone,KO138,body,length,19.1
Anthidium exhumatum,106384,"""shale""",NA,body,width,5.5
Anthidium exhumatum,106384,"""shale""",NA,body,length,13.5
Anthidium mortuum,138696,lignite,NA,forewing,width,3
Anthidium mortuum,138696,lignite,NA,forewing,length,6
Anthidium mortuum,138696,lignite,NA,body,length,7
Anthidium mortuum,122010,"""shale""",NA,forewing,width,2.4
Anthidium mortuum,122010,"""shale""",NA,forewing,length,7.4
Anthidium scudderi,106384,"""shale""",NA,body,width,5
Anthidium scudderi,106384,"""shale""",NA,body,length,15
Anthidium scudderi,106384,"""shale""",NA,forewing,length,8
Anthocoleus hebeiensis,154788,mudstone,Hong Hr168,elytron,width,4.5
Anthocoleus hebeiensis,154788,mudstone,Hong Hr168,elytron,length,16
Anthohymen hejinensis,140456,"""siliciclastic""",ShaH1001,forewing,width,9
Anthohymen hejinensis,140456,"""siliciclastic""",ShaH1001,forewing,length,35
